pitcherstatid,Player,Tm,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
197,Adam Conley,MIA,52,0,0,0,50.2,37,23,50,18,5,3,4,3,2,16,4.09,1.09
198,Ben Meyer,MIA,13,0,0,0,19,26,22,9,14,2,0,0,0,0,0,10.42,2.11
199,Brad Ziegler,MIA,53,0,0,0,52,49,23,37,17,7,1,5,10,1,11,3.98,1.27
200,Brett Graves,MIA,21,0,0,0,33.1,41,20,21,12,3,1,1,1,0,0,5.4,1.59
201,Caleb Smith,MIA,16,16,0,0,77.1,63,36,88,33,10,5,6,0,0,0,4.19,1.24
202,Chris O'Grady,MIA,8,0,0,0,7,7,5,8,4,2,0,1,0,1,0,6.43,1.57
203,Dan Straily,MIA,23,23,0,0,122.1,107,56,99,52,20,5,6,0,0,0,4.12,1.3
204,Dillon Peters,MIA,7,5,0,0,27.2,34,22,17,15,4,2,2,0,0,0,7.16,1.77
205,Drew Rucinski,MIA,32,0,0,0,35.1,34,17,27,13,2,4,2,0,1,4,4.33,1.33
206,Drew Steckenrider,MIA,71,0,0,0,64.2,55,28,74,27,7,4,4,5,5,19,3.9,1.27
207,Elieser Hernandez,MIA,32,6,0,0,65.2,68,38,45,27,11,2,7,0,0,2,5.21,1.45
208,Jacob Turner,MIA,4,0,0,0,5.2,13,10,2,5,1,0,0,0,0,0,15.88,3.18
209,Jarlin Garcia,MIA,29,7,0,0,66,59,36,40,28,16,3,3,0,0,2,4.91,1.32
210,Javy Guerra,MIA,32,0,0,0,35.2,42,22,30,12,4,1,1,1,0,1,5.55,1.51
211,Jeff Brigham,MIA,4,4,0,0,16.1,16,11,12,13,2,0,4,0,0,0,6.06,1.78
212,Jose Urena,MIA,31,31,1,0,174,155,77,130,51,19,9,12,0,0,0,3.98,1.18
213,Junichi Tazawa,MIA,22,0,0,0,20,28,20,24,13,6,1,1,0,0,2,9,2.05
214,Kyle Barraclough,MIA,61,0,0,0,55.2,40,26,60,34,8,1,6,10,7,10,4.2,1.33
215,Merandy Gonzalez,MIA,8,1,0,0,22,31,14,19,8,4,2,1,0,0,0,5.73,1.77
216,Nick Wittgren,MIA,32,0,0,0,33.2,29,11,31,15,1,2,1,0,0,4,2.94,1.31
217,Odrisamer Despaigne,MIA,11,1,0,0,20.1,22,12,18,8,1,2,0,0,1,0,5.31,1.48
218,Pablo Lopez,MIA,10,10,0,0,58.2,56,27,46,18,8,2,4,0,0,0,4.14,1.26
219,Sandy Alcantara,MIA,6,6,0,0,34,25,13,30,23,3,2,3,0,0,0,3.44,1.41
220,Tayron Guerrero,MIA,60,0,0,0,58,64,35,68,30,8,1,3,0,4,9,5.43,1.62
221,Trevor Richards,MIA,25,25,0,0,126.1,121,62,130,54,15,4,9,0,0,0,4.42,1.39
222,Tyler Cloyd,MIA,7,0,0,0,17.2,25,17,13,10,3,0,0,0,0,0,8.66,1.98
223,Tyler Kinley,MIA,9,0,0,0,7.2,6,6,9,4,0,0,0,0,0,0,7.04,1.3
224,Wei-Yin Chen,MIA,26,26,0,0,133.1,131,71,111,47,19,6,12,0,0,0,4.79,1.34
225,Adam Liberatore,LAD,17,0,0,0,13,10,4,12,8,1,2,1,0,1,1,2.77,1.38
226,Alex Wood,LAD,33,27,0,0,151.2,143,62,135,40,14,9,7,0,0,1,3.68,1.21
227,Brock Stewart,LAD,9,2,0,0,17.2,23,12,14,9,4,0,1,0,1,0,6.11,1.81
228,Caleb Ferguson,LAD,29,3,0,0,49,43,19,59,12,8,7,2,2,1,5,3.49,1.12
229,Clayton Kershaw,LAD,26,26,0,0,161.1,139,49,155,29,17,9,5,0,0,0,2.73,1.04
230,Daniel Corcino,LAD,2,0,0,0,4,2,1,1,3,0,0,0,1,0,0,2.25,1.25
231,Daniel Hudson,LAD,40,1,0,0,46,38,21,44,18,6,3,2,0,1,3,4.11,1.22
232,Dennis Santana,LAD,1,0,0,0,3.2,6,5,4,1,0,1,0,0,0,0,12.27,1.91
233,Edward Paredes,LAD,15,0,0,0,7.2,7,5,8,2,2,2,0,0,0,3,5.87,1.17
234,Erik Goeddel,LAD,26,0,0,0,29.1,22,11,35,15,4,1,0,0,2,5,3.38,1.26
235,Hyun-Jin Ryu,LAD,15,15,0,0,82.1,68,18,89,15,9,7,3,0,0,0,1.97,1.01
236,Josh Fields,LAD,45,0,0,0,41,28,10,33,11,4,2,2,2,1,8,2.2,0.95
237,JT Chargois,LAD,39,0,0,0,32.1,26,12,40,15,4,2,4,0,4,7,3.34,1.27
238,Julio Urias,LAD,3,0,0,0,4,1,0,7,0,0,0,0,0,0,0,0,0.25
239,Kenley Jansen,LAD,69,0,0,0,71.2,54,24,82,17,13,1,5,38,4,0,3.01,0.99
240,Kenta Maeda,LAD,39,20,0,0,125.1,115,53,153,43,13,8,10,2,0,5,3.81,1.26
241,Pat Venditte,LAD,15,0,0,0,14,11,4,9,3,1,0,0,0,0,0,2.57,1
242,Pedro Baez,LAD,55,0,0,0,56.1,46,18,62,23,4,4,3,0,1,7,2.88,1.22
243,Rich Hill,LAD,25,24,0,0,132.2,108,54,150,41,20,11,5,0,0,0,3.66,1.12
244,Ross Stripling,LAD,33,21,0,0,122,123,41,136,22,18,8,6,0,0,3,3.02,1.19
245,Scott Alexander,LAD,73,1,0,0,66,57,27,56,27,4,2,1,3,3,21,3.68,1.27
246,Tony Cingrani,LAD,30,0,0,0,22.2,19,12,36,6,2,1,2,0,2,11,4.76,1.1
