battarstatid,Player,Tm,Pos,G,AB,R,H,Hit_2B,Hit_3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
157,Brandon Nimmo,NYM,OF,140,433,77,114,28,8,17,47,9,6,80,140,0,0,22,0.263,0.404,0.483,0.887
158,Todd Frazier,NYM,3B,115,408,54,87,18,0,18,59,9,4,48,112,0,8,8,0.213,0.303,0.39,0.693
159,Wilmer Flores,NYM,3B,126,386,43,103,25,0,11,51,0,0,29,42,0,9,5,0.267,0.319,0.417,0.736
160,Asdrubal Cabrera,NYM,SS,98,375,48,104,23,1,18,58,0,0,29,81,0,2,1,0.277,0.329,0.488,0.817
161,Jay Bruce,NYM,OF,94,319,31,71,18,1,9,37,2,3,41,75,0,1,0,0.223,0.31,0.37,0.68
162,Jose Bautista,NYM,3B,83,245,37,50,13,0,9,37,2,2,51,84,0,1,5,0.204,0.351,0.367,0.718
163,Kevin Plawecki,NYM,C,79,238,33,50,13,2,7,30,0,1,28,65,1,1,9,0.21,0.315,0.37,0.685
164,Jose Reyes,NYM,SS,110,228,30,43,12,3,4,16,5,2,22,39,1,0,0,0.189,0.26,0.32,0.58
165,Jeff McNeil,NYM,2B,63,225,35,74,11,6,3,19,7,1,14,24,4,0,5,0.329,0.381,0.471,0.852
166,Devin Mesoraco,NYM,C,66,203,23,45,8,0,10,30,0,0,23,42,0,1,2,0.222,0.306,0.409,0.715
167,Austin Jackson,NYM,OF,57,198,17,49,9,1,3,19,1,2,12,74,0,0,0,0.247,0.29,0.348,0.638
168,Adrian Gonzalez,NYM,1B,54,169,15,40,5,0,6,26,0,0,15,34,0,2,1,0.237,0.299,0.373,0.672
169,Dominic Smith,NYM,1B,56,143,14,32,11,1,5,11,0,0,4,47,0,0,2,0.224,0.255,0.42,0.675
170,Yoenis Cespedes,NYM,OF,38,141,20,37,6,0,9,29,3,0,13,50,0,2,1,0.262,0.325,0.496,0.821
171,Tomas Nido,NYM,C,34,84,10,14,3,0,1,9,0,0,4,27,0,2,0,0.167,0.2,0.238,0.438
172,Luis Guillorme,NYM,SS,35,67,4,14,2,0,0,5,1,0,7,3,0,0,0,0.209,0.284,0.239,0.523
173,Juan Lagares,NYM,OF,30,59,9,20,1,1,0,6,3,1,3,9,0,1,1,0.339,0.375,0.39,0.765
174,Jose Lobaton,NYM,C,22,49,3,7,2,1,0,4,0,0,7,15,0,1,0,0.143,0.246,0.224,0.47
175,Jack Reinheimer,NYM,SS,21,30,4,5,0,0,0,0,1,1,5,9,0,0,0,0.167,0.286,0.167,0.453
176,Phillip Evans,NYM,3B,15,21,1,3,0,0,0,1,1,0,2,8,0,0,0,0.143,0.217,0.143,0.36
177,Matt den Dekker,NYM,OF,8,18,0,0,0,0,0,1,0,0,2,9,0,1,0,0,0.095,0,0.095
178,Travis d'Arnaud,NYM,C,4,15,1,3,0,0,1,3,0,0,1,5,0,0,0,0.2,0.25,0.4,0.65
179,Ty Kelly,NYM,2B,9,11,1,1,0,0,0,0,0,0,1,2,0,0,0,0.091,0.167,0.091,0.258
180,Kevin Kaczmarski,NYM,OF,4,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.2,0,0.2
181,David Wright,NYM,3B,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333,0,0.333
182,Cesar Hernandez,PHI,2B,161,605,91,153,15,3,15,60,19,6,95,155,1,3,4,0.253,0.356,0.362,0.718
183,Carlos Santana,PHI,1B,161,560,82,128,28,2,24,86,2,1,110,93,0,8,1,0.229,0.352,0.414,0.766
184,Rhys Hoskins,PHI,1B,153,558,89,137,38,0,34,96,5,3,87,150,0,5,9,0.246,0.354,0.496,0.85
185,Odubel Herrera,PHI,OF,148,550,64,140,19,3,22,71,5,2,38,122,1,1,7,0.255,0.31,0.42,0.73
186,Scott Kingery,PHI,2B,147,452,55,102,23,2,8,35,10,3,24,126,0,5,3,0.226,0.267,0.338,0.605
187,Maikel Franco,PHI,3B,131,433,48,117,17,1,22,68,1,0,29,62,0,3,0,0.27,0.314,0.467,0.781
188,Nick Williams,PHI,OF,140,407,53,104,12,3,17,50,3,2,32,111,0,0,9,0.256,0.324,0.425,0.749
189,Jorge Alfaro,PHI,C,108,344,35,90,16,2,10,37,3,0,18,138,0,1,14,0.262,0.324,0.407,0.731
190,Aaron Altherr,PHI,OF,105,243,28,44,11,1,8,38,3,2,36,91,0,2,4,0.181,0.295,0.333,0.628
191,Andrew Knapp,PHI,C,84,187,19,37,6,2,4,15,1,0,24,75,1,1,2,0.198,0.294,0.316,0.61
192,Roman Quinn,PHI,OF,50,131,13,34,6,4,2,12,10,4,10,35,1,0,1,0.26,0.317,0.412,0.729
193,J.P. Crawford,PHI,3B,49,117,17,25,6,3,3,12,2,0,13,37,2,0,5,0.214,0.319,0.393,0.712
194,Jesmuel Valentin,PHI,2B,46,79,8,14,5,1,1,6,0,0,8,24,0,1,1,0.177,0.258,0.304,0.562
195,Pedro Florimon,PHI,OF,50,71,13,16,6,1,2,5,1,2,5,30,0,0,0,0.225,0.276,0.423,0.699
196,Dylan Cozens,PHI,OF,26,38,2,6,2,0,1,2,1,0,6,24,0,0,0,0.158,0.273,0.289,0.562
197,Mitch Walding,PHI,3B,13,17,1,1,0,0,1,2,0,0,2,12,0,0,0,0.059,0.158,0.235,0.393
198,Trevor Plouffe,PHI,3B,7,12,1,3,0,0,1,3,0,0,0,6,0,0,0,0.25,0.25,0.5,0.75
199,Starling Marte,PIT,OF,145,559,81,155,32,5,20,72,33,14,35,109,1,3,8,0.277,0.327,0.46,0.787
200,Corey Dickerson,PIT,OF,135,504,65,151,35,7,13,55,8,3,21,80,0,4,4,0.3,0.33,0.474,0.804
201,Josh Bell,PIT,1B,148,501,74,131,31,4,12,62,2,5,77,104,0,5,0,0.261,0.357,0.411,0.768
202,Gregory Polanco,PIT,OF,130,461,75,117,32,6,23,81,12,2,61,117,0,7,3,0.254,0.34,0.499,0.839
203,Colin Moran,PIT,3B,144,415,49,115,19,1,11,58,0,2,39,82,0,7,4,0.277,0.34,0.407,0.747
204,Jordy Mercer,PIT,SS,117,394,43,99,29,2,6,39,2,0,32,87,1,3,6,0.251,0.315,0.381,0.696
205,Josh Harrison,PIT,2B,97,344,41,86,13,1,8,37,3,0,18,68,2,5,5,0.25,0.293,0.363,0.656
206,Francisco Cervelli,PIT,C,104,332,39,86,15,3,12,57,2,3,51,84,2,4,15,0.259,0.378,0.431,0.809
207,Adam Frazier,PIT,OF,113,318,52,88,23,2,10,35,1,3,29,53,1,1,3,0.277,0.342,0.456,0.798
208,Elias Diaz,PIT,C,82,252,33,72,12,0,10,34,0,1,21,40,0,3,1,0.286,0.339,0.452,0.791
209,David Freese,PIT,3B,94,241,29,68,10,1,9,42,0,0,18,56,0,3,3,0.282,0.336,0.444,0.78
210,Austin Meadows,PIT,OF,49,154,16,45,8,2,5,13,4,1,8,35,0,2,1,0.292,0.327,0.468,0.795
211,Sean Rodriguez,PIT,OF,66,150,21,25,5,1,5,19,1,0,22,60,0,0,1,0.167,0.277,0.313,0.59
212,Jose Osuna,PIT,OF,51,106,14,24,9,0,3,11,0,0,3,22,0,1,1,0.226,0.252,0.396,0.648
213,Jordan Luplow,PIT,OF,37,92,16,17,1,3,3,7,2,2,10,18,0,0,1,0.185,0.272,0.359,0.631
214,Kevin Newman,PIT,SS,31,91,7,19,2,0,0,6,0,1,4,23,0,1,1,0.209,0.247,0.231,0.478
215,Max Moroff,PIT,2B,26,59,7,11,1,0,3,9,0,0,7,24,0,0,1,0.186,0.284,0.356,0.64
